,KEW.PS-3/BAKERI/154,DAUN KUNYIT,1
,KEW.PS-3/BAKERI/155,DAUN LIMAU PURUT,1
,KEW.PS-3/BAKERI/156,DAUN KARI,1
,KEW.PS-3/BAKERI/157,DAUN PANDAN,1
,KEW.PS-3/BAKERI/158,DAUN PISANG,1
,KEW.PS-3/BAKERI/159,DAUN PUDINA,1
,KEW.PS-3/BAKERI/160,DAUN PARSLEY FRESH,1
,KEW.PS-3/BAKERI/161,DAUN ROSEMARY FRESH,1
,KEW.PS-3/BAKERI/162,DAUN PEGAGA,
,KEW.PS-3/BAKERI/163,DAUN KESUM,
,KEW.PS-3/BAKERI/164,DAUN BASIL,1
,KEW.PS-3/BAKERI/165,DAUN SIREH,
,KEW.PS-3/BAKERI/166,DAUN KADUK,
,KEW.PS-3/BAKERI/167,FRESH – IKAN KEMBUNG ,
,KEW.PS-3/BAKERI/168,FRESH – ISI IKAN DORI,
,KEW.PS-3/BAKERI/169,FRESH – IKAN SARDIN,
,KEW.PS-3/BAKERI/170,FROZEN - WEDGES,1
,KEW.PS-3/BAKERI/171,FROZEN – FRENCH FRIES,1
,KEW.PS-3/BAKERI/172,GAJUS,1
,KEW.PS-3/BAKERI/173,GARAM,1
,KEW.PS-3/BAKERI/174,GULA PASIR KASAR,1
,KEW.PS-3/BAKERI/175,GULA HALUS,1
,KEW.PS-3/BAKERI/176,GULA KASTOR/CASTOR SUGAR,1
,KEW.PS-3/BAKERI/177,GULA AISING,1
,KEW.PS-3/BAKERI/178,GULA MERAH,1
,KEW.PS-3/BAKERI/179,GULA MELAKA,1
,KEW.PS-3/BAKERI/180,GULA PERANG,1
,KEW.PS-3/BAKERI/181,HALIA,1
,KEW.PS-3/BAKERI/182,HORLICKS,1
,KEW.PS-3/BAKERI/183,INSTANT TART SHELL,1
,KEW.PS-3/BAKERI/184,INDOCAFE,1
,KEW.PS-3/BAKERI/185,KOPI,1
,KEW.PS-3/BAKERI/186,KACANG TANAH,1
,KEW.PS-3/BAKERI/187,KACANG HIJAU,1
,KEW.PS-3/BAKERI/188,KACANG MERAH,1
,KEW.PS-3/BAKERI/189,KACANG DAL/DHAL,1
,KEW.PS-3/BAKERI/190,KACANG KUDA,1
,KEW.PS-3/BAKERI/191,KACANG GAJUS,1
,KEW.PS-3/BAKERI/192,KACANG HAZELNUT,1
,KEW.PS-3/BAKERI/193,KACANG SOYA,1
,KEW.PS-3/BAKERI/194,KUACI PUTIH,1
,KEW.PS-3/BAKERI/195,KUACI HIJAU (PUMPKIN SEED),1
,KEW.PS-3/BAKERI/196,KRANBERI KERING,1
,KEW.PS-3/BAKERI/197,KURMA,1
,KEW.PS-3/BAKERI/198,KISMIS KUNING,1
,KEW.PS-3/BAKERI/199,KISMIS HITAM,1
,KEW.PS-3/BAKERI/200,KEK MARBLE (BIJI),1
,KEW.PS-3/BAKERI/201,KRIM – WHIPPING CREAM,1
,KEW.PS-3/BAKERI/202,KRIM – WHIPPING CREAM (NON DAIRY) ,1
,KEW.PS-3/BAKERI/203,KRIM – YOGURT,1
,KEW.PS-3/BAKERI/204,KICAP PEKAT,1
,KEW.PS-3/BAKERI/205,KELAPA KERING,1
,KEW.PS-3/BAKERI/206,KELAPA PARUT,1
,KEW.PS-3/BAKERI/207,KULIT WANTAN,1
,KEW.PS-3/BAKERI/208,LIMA BEAN – KACANG LIMA,1
,KEW.PS-3/BAKERI/209,MILO,1
,KEW.PS-3/BAKERI/210,MADU,1
,KEW.PS-3/BAKERI/211,MALT SYRUP,1
,KEW.PS-3/BAKERI/212,MAYONIS,1
,KEW.PS-3/BAKERI/213,MAGGI,1
,KEW.PS-3/BAKERI/214,MINYAK MASAK,1
,KEW.PS-3/BAKERI/215,MINYAK ZAITUN,1
,KEW.PS-3/BAKERI/216,MINYAK SAPI,1
,KEW.PS-3/BAKERI/217,MINYAK JAGUNG,1
,KEW.PS-3/BAKERI/218,MINYAK MAZOLA,1
,KEW.PS-3/BAKERI/219,MINYAK BIJAN,1
,KEW.PS-3/BAKERI/220,MINUMAN – A&W ROOTBEER,
,KEW.PS-3/BAKERI/221,MINUMAN – AIR SODA,
,KEW.PS-3/BAKERI/222,MINUMAN – 7UP,
,KEW.PS-3/BAKERI/223,MINUMAN – STRAWBERRY,
,KEW.PS-3/BAKERI/224,MINUMAN – KORDIAL OREN,1
,KEW.PS-3/BAKERI/225,MINUMAN – KORDIAL MANGGA,1
,KEW.PS-3/BAKERI/226,MINUMAN – ORANGE SUNQUICK,1
,KEW.PS-3/BAKERI/227,MINUMAN – FANTA ANGGUR,
,KEW.PS-3/BAKERI/228,NESCAFE,
,KEW.PS-3/BAKERI/229,NESTUM,1
,KEW.PS-3/BAKERI/230,NATA DE COCO,1
,KEW.PS-3/BAKERI/231,NUTELLA,1
,KEW.PS-3/BAKERI/232,OAT INTANTS,1
,KEW.PS-3/BAKERI/233,OAT KASAR,1
,KEW.PS-3/BAKERI/234,PAN OLA CANOLA,1
,KEW.PS-3/BAKERI/235,PULUT PUTIH,1
,KEW.PS-3/BAKERI/236,PULUT HITAM,1
,KEW.PS-3/BAKERI/237,POP CORN,1
,KEW.PS-3/BAKERI/238,PISTACHIO,1
,KEW.PS-3/BAKERI/239,PEWARNA MERAH,1
,KEW.PS-3/BAKERI/240,PEWARNA PINK,1
,KEW.PS-3/BAKERI/241,PEWARNA HIJAU,1
,KEW.PS-3/BAKERI/242,PEWARNA UNGU,1
,KEW.PS-3/BAKERI/243,PEWARNA KUNING,1
,KEW.PS-3/BAKERI/244,PEWARNA BIRU,1
,KEW.PS-3/BAKERI/245,PEWARNA HITAM,1
,KEW.PS-3/BAKERI/246,PERISA OREN,1
,KEW.PS-3/BAKERI/247,PERISA LAICI,1
,KEW.PS-3/BAKERI/248,PERISA HONEY DEW,1
,KEW.PS-3/BAKERI/249,PERISA COFFE ,1
,KEW.PS-3/BAKERI/250,PERISA PISANG,1
,KEW.PS-3/BAKERI/251,PERISA STRAWBERRY,1
,KEW.PS-3/BAKERI/252,PERISA MINT,1
,KEW.PS-3/BAKERI/253,ROTI GARDENIA,1
,KEW.PS-3/BAKERI/254,ROTI WHOLEMEAL,1
,KEW.PS-3/BAKERI/255,ROTI PERANCIS,1
,KEW.PS-3/BAKERI/256,REMPAH - BUNGA LAWANG,1
,KEW.PS-3/BAKERI/257,REMPAH - BUNGA CENGKIH,1
,KEW.PS-3/BAKERI/258,REMPAH - BUAH PELAGA,1
,KEW.PS-3/BAKERI/259,REMPAH – KAYU MANIS,1
,KEW.PS-3/BAKERI/260,REMPAH – JINTAN MANIS,1
,KEW.PS-3/BAKERI/261,REMPAH – JINTAN PUTIH,1
,KEW.PS-3/BAKERI/262,SERBUK KOKO,1
,KEW.PS-3/BAKERI/263,SUSU PEKAT,1
,KEW.PS-3/BAKERI/264,SUSU CAIR / SEJAT,1
